Node 1

Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
128,49,49,128
Echo Requests Sent (bytes),Echo Requests Data Sent (bytes)
89452.0,84076.0
Echo Requests Recieved (bytes),Echo Requests Data Recieved
51904.0,49846.0
Average RTT,2.57
Echo Request Throughput (kB/sec),272.4
Echo Request Goodput (kB/sec),256.0
Average Reply Delay (us),
Average Echo Request Hop Count,1.90625

Node 2

Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
70,28,28,70
Echo Requests Sent (bytes),Echo Requests Data Sent (bytes)
58672.0,55732.0
Echo Requests Recieved (bytes),Echo Requests Data Recieved
30008.0,28832.0
Average RTT,2.25
Echo Request Throughput (kB/sec),930.1
Echo Request Goodput (kB/sec),883.5
Average Reply Delay (us),
Average Echo Request Hop Count,1.0

Node 3

Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
18,17,17,18
Echo Requests Sent (bytes),Echo Requests Data Sent (bytes)
17788.0,17032.0
Echo Requests Recieved (bytes),Echo Requests Data Recieved
19896.0,19182.0
Average RTT,4.42
Echo Request Throughput (kB/sec),236.5
Echo Request Goodput (kB/sec),226.5
Average Reply Delay (us),
Average Echo Request Hop Count,3.0

Node 4

Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
40,4,4,40
Echo Requests Sent (bytes),Echo Requests Data Sent (bytes)
12992.0,11312.0
Echo Requests Recieved (bytes),Echo Requests Data Recieved
2000.0,1832.0
Average RTT,3.24
Echo Request Throughput (kB/sec),1003.2
Echo Request Goodput (kB/sec),873.5
Average Reply Delay (us),
Average Echo Request Hop Count,3.0

